1	'' -344.57 80.57 -713.41
2	'' -216.64 42.72 -760.98
3	'' -213.54 31.19 -816.2
4	'' -314.81 57.83 -936.94
5	'' -316.12 54.4 -889.33
6	'' -530.76 64.95 -520.45
7	'' -555.64 64.46 -510.7
8	'' -725.39 84.15 -413.9
9	'' -525.57 39.19 -163.83
10	'' -515.23 43.45 -125.83
11	'' -474.12 45.17 -118.64
12	'' -498.3 34.02 -228.66
13	'' -388.37 42.67 -252.24
14	'' -326.37 39.54 -206.12
15	'' -352.13 49.47 2.05
16	'' -343.25 38.48 92.49
17	'' -357.23 21.15 247.2
18	'' -294.48 14.54 242.54
19	'' -343.47 68.42 529.34
20	'' -217.3 74.22 638.95
21	'' -160.71 44.5 585.33
22	'' -116.43 57.77 714.72
23	'' -213.92 73.1 743.02
24	'' -341.39 66.22 745.01
25	'' -417.74 62.5 654.44
26	'' -413.48 38.43 792.05
27	'' -337.21 3.42 865.6
28	'' -299.4 3.91 883.92
29	'' -141.01 54.81 936.86
30	'' -88.08 66.96 941.74
31	'' -510.55 5.41 897.45
32	'' -625.36 38.12 800.77
33	'' -694.38 53.07 875.56
34	'' -732.79 9.92 754.52
35	'' -939.77 19.4 715.72
36	'' -925.22 16.23 671.58
37	'' -944.72 25.42 654.63
38	'' -967.08 21.52 542.74
39	'' -701.88 2.32 430.55
40	'' -716.35 -9.51 504.29
41	'' -581.8 5.15 563.18
42	'' -489.35 2.39 419.24
43	'' 121.11 50.07 -24.83
44	'' 196.31 96.04 -348.71
45	'' 248.1 108.77 -456.81
46	'' 367.29 5.4 -495.1
47	'' 365.42 0.51 -522.17
48	'' 373.78 0.6 -580.23
49	'' 399.44 2.08 -577.24
50	'' 556.53 -10.44 -628.37
51	'' 525.85 18.73 -716.86
52	'' 672.04 0.65 -528.25
53	'' 604.64 5.61 -477.87
54	'' 804.94 7.09 -560.89
55	'' 803.02 6.43 -601.27
56	'' 838.19 13.32 -679.78
57	'' 901.03 30.18 -697.42
58	'' 996.09 29.44 -728
59	'' 1097.99 14.5 -742.05
60	'' 1089.02 28.24 -633.27
61	'' 1005.23 45.56 -612.11
62	'' 942.4 50.54 -442.78
63	'' 981.45 60 -375.06
64	'' 1094.76 66.46 -256.23
65	'' 1033.75 83.27 -186.33
66	'' 1050.75 79.26 209.84
67	'' 1091.5 84.15 262.01
68	'' 1115.06 105.69 353.8
69	'' 1208.35 149.08 440.9
70	'' 1093.63 161.67 517.24
71	'' 1047.62 197.99 649.78
72	'' 1166.98 227.12 727.84
73	'' 731.97 113.4 712.19
74	'' 224.64 87.24 798.48
75	'' 140.88 88.8 836.42
76	'' -1071.51 160.46 -173.49
77	'' -1013.35 146.36 -616.55
78	'' -1047.06 148.19 -680.01
79	'' -786.39 128.32 -753.69
80	'' -690.14 117.22 -802.1
81	'' -566.06 86.43 -874.54
82	'' -618.74 89.99 -919.11
83	'' 10.95 1.23 -718.89
84	'' 59.17 -52.71 -646.82
85	'' -73.57 4.83 -525.66
86	'' 525.32 52.89 13.2
87	'' 434.91 59.34 -1.61
88	'' 322.54 43.06 118.95
89	'' 330.89 35.53 188.42
90	'' 482.41 64.25 248.72
91	'' 577.97 94.57 297.53
92	'' 585.67 88.2 297.64
93	'' -395.19 68.97 -650.03
94	'' -288.61 50.7 -550.69
95	'' -241.16 47.65 -419.97
96	'' -91.71 35.54 -345
97	'' -46.38 59.99 -395.53
98	'' -310.3 58.36 -236.43
99	'' -395.35 39.29 -220.34
100	'' -461.89 37.03 -200.69
101	'' -574.88 46.01 -130.05
102	'' -611.52 45.76 -277.88
103	'' -675.34 45.5 -262.78
104	'' -554.83 47.11 -305.72
105	'' -427.78 60.88 -422.85
106	'' -396.21 62.9 -407.33
107	'' -687.03 99.35 -489.77
108	'' -826.84 124.8 -520.35
142	'' -518.18 91.76 -682.67
159	'' 555.41 -11.52 -593.07
137	'' 1047.42 84.79 292.08
163	'' 623.38 18.52 -791.62
127	'' -160.96 46.88 971.3
144	'' -871.2 38.69 4.01
117	'' -733.37 2.5 -151.71
162	'' 516.14 22.96 -736.48
120	'' -89.58 22.84 458.34
151	'' -763.6 -82.23 645.26
109	'' -873.11 0.82 -159.61
155	'' 353.76 82.22 -343.06
132	'' -366.95 68.43 665.64
122	'' -222.54 46.96 572.54
158	'' 529.54 29.57 -424.36
110	'' -867.53 0.53 -157.78
134	'' 415.42 122.83 906.85
119	'' 56.86 0.14 463.53
140	'' 1206.18 112.53 352.54
161	'' 545.3 10.41 -704.74
154	'' 324.14 84.25 -372.66
157	'' 473.65 41.02 -411.94
129	'' -375.88 0.71 939.22
125	'' -146.43 53.8 942.4
145	'' -926.76 54.45 166.1
138	'' 1074.09 90.88 306.79
113	'' -862.94 0.3 -172.56
131	'' -320.34 64.41 764.85
124	'' -109.7 54.96 696.02
111	'' -862.01 0.85 -154.37
160	'' 603.65 -14.64 -646.72
153	'' 279.8 55.05 70.83
147	'' -486.74 0.12 357.64
139	'' 1137.98 141.93 437.56
128	'' -298.02 1.67 916.64
141	'' -465.28 107.85 -884.04
150	'' -567 64.85 855.45
156	'' 482.65 82.6 -292.58
146	'' -679.82 38.3 134.4
126	'' -46.1 80.17 976.73
152	'' 245.69 57.92 -8.74
112	'' -859.09 0.54 -166.49
149	'' -640.95 37.78 783.46
148	'' -891.99 8.93 695.13
115	'' -876.74 0.29 -175.08
136	'' 683.23 104.42 515.82
164	'' 806.51 3.61 -676.89
143	'' -470.97 77.24 -617.96
130	'' -303.79 7.07 863.1
114	'' -869.64 0.2 -175.91
123	'' -82.42 49.83 624.8
118	'' -756.34 -0.27 -229.52
135	'' 566.75 70.23 682.55
133	'' -433.51 62.32 610.2
116	'' -878.11 0.4 -167.01
121	'' -206.4 38.62 436.46
165	'' 896.73 40.12 -600.01
166	'' 801.61 31.09 -905.29
167	'' 791.2 29.97 -893.53
168	'' 712.11 26.1 -970.31
169	'' 1092.82 25 -609.7
170	'' 1241.1 19.59 -744.14
171	'' 1088.58 45.26 -530.49
172	'' 833.23 52.17 -373.4
173	'' 1161.34 89.81 -195.49
174	'' 1145.53 96.89 -146.15
175	'' 1048.92 106.8 -79.32
176	'' 958.71 127.49 -136.24
177	'' 1107.31 79.52 134.42
178	'' 91.99 87.14 875.11
179	'' -684.14 121.01 -760.24
180	'' 33.64 -46.85 -773.46
181	'' 86.69 -54.68 -770.09
182	'' 129.76 -51 -798.85
183	'' 455.32 59.9 12.08
184	'' 564.16 90.65 146.16
185	'' 459.88 63.16 218.67
186	'' 630.19 65.23 282.33
187	'' 645.76 74.75 232.71
188	'' 587.49 53.13 300.72
189	'' 458.72 95.52 -155.41
190	'' 349.68 71.03 -191.69
191	'' 211.42 34.14 -122.12
192	'' 310.94 71.14 -41.34
193	'' 496.32 52.86 -9.22
194	'' 399.28 62.88 -336.18
195	'' 619.81 30.91 -373.67
196	'' 725.08 20.55 -450.52
197	'' 754.91 21.07 -468.14
198	'' 902.07 40.45 -609.28
